"FEATUREID","Water","Dev OS","Dev LI","Dev MI","Dev HI","Barren","Dec For","Ev For","Mix For","Shrub","Grass","Pasture","Wd Wet","Herb Wet","Total"
8893204,0.0788643533123028,36.9085173501577,32.1175078864353,15.8517350157729,4.1403785488959,0,6.35843848580442,1.22239747634069,1.02523659305994,0,0.670347003154574,0.512618296529968,1.11395899053628,0,10144
8893336,0.218136491118729,42.4431287005298,19.5699594889374,7.38547834216267,0.218136491118729,0,5.73387348083515,4.33156746650047,1.5581177937052,0,0.84138360860081,0,17.7002181364911,0,3209
8893346,0,59.6654275092937,12.8252788104089,0.929368029739777,0,0,5.39033457249071,8.17843866171004,1.30111524163569,0,0,0,11.7100371747212,0,538
8894150,0,43.9897698209719,15.0895140664962,8.63171355498721,2.0460358056266,0,1.98209718670077,6.64961636828644,0.319693094629156,0.895140664961637,0.319693094629156,1.47058823529412,18.6061381074169,0,1564
8894154,0,15.0022192632046,8.78828229027963,6.92410119840213,4.52729693741678,0.399467376830892,21.0830004438526,4.5716822015091,1.90856635596982,0.266311584553928,0.266311584553928,0.266311584553928,35.0199733688415,0.97647581003107,2253
8893160,0,27.5257731958763,24.1237113402062,29.8969072164948,10.3092783505155,0,4.22680412371134,3.91752577319588,0,0,0,0,0,0,970
8893292,0.364785992217899,52.091439688716,20.7198443579767,4.37743190661479,0.924124513618677,0,8.19552529182879,3.59922178988327,0.462062256809339,0.0729571984435798,0.632295719844358,0,8.56031128404669,0,4112
8894152,0,66.5752171925011,14.7233653406493,7.81893004115226,1.23456790123457,0,4.70964791952446,2.05761316872428,0.960219478737997,0,0.823045267489712,0.0457247370827618,0.731595793324188,0.320073159579332,2187
8893168,0,73.0527638190955,17.2110552763819,4.08291457286432,0.753768844221106,0,2.8894472361809,0,1.82160804020101,0,0.188442211055276,0,0,0,1592
8893224,0,66.4874551971326,23.4767025089606,7.88530465949821,1.4336917562724,0,0,0.716845878136201,0,0,0,0,0,0,558
8893154,0,59.2668024439919,23.7270875763747,15.2749490835031,1.12016293279022,0,0,0.610997963340122,0,0,0,0,0,0,982
8893196,0,65.0057937427578,18.4241019698725,12.3986095017381,2.78099652375435,0,0,0,1.39049826187717,0,0,0,0,0,863
8894424,2.41423125794155,32.5285895806862,26.0482846251588,17.6620076238882,4.8284625158831,0,7.87801778907243,4.8284625158831,2.41423125794155,0,1.39771283354511,0,0,0,787
8893300,2.94117647058824,26.4705882352941,5.88235294117647,0,0,0,23.5294117647059,35.2941176470588,0,0,0,0,5.88235294117647,0,34
8893338,0,74.1914191419142,4.29042904290429,1.02310231023102,0.132013201320132,0,4.55445544554455,7.82178217821782,2.77227722772277,0,0.165016501650165,0.495049504950495,4.55445544554455,0,3030
8893344,0,57.0582428430405,35.7847976307996,3.20829220138203,0.197433366238894,0,0.789733464955578,0.740375123395854,0.0493583415597236,0,0,0,2.17176702862784,0,2026
8894422,1.96261682242991,43.2710280373832,33.4579439252336,6.54205607476636,1.49532710280374,0,3.92523364485981,2.24299065420561,1.77570093457944,0,4.48598130841121,0,0.841121495327103,0,1070
8893130,0,42.4242424242424,47.5378787878788,8.52272727272727,1.51515151515152,0,0,0,0,0,0,0,0,0,528
8893206,0,46.5116279069767,20.9302325581395,4.84496124031008,0,0,9.88372093023256,2.13178294573643,2.13178294573643,0,0,3.48837209302326,10.077519379845,0,516
8893308,2.7027027027027,24.3243243243243,10.8108108108108,10.8108108108108,0,0,29.7297297297297,21.6216216216216,0,0,0,0,0,0,37
8893298,0,27.7013752455796,19.5481335952849,8.05500982318271,3.63457760314342,0,16.1100196463654,8.05500982318271,2.94695481335953,0.589390962671906,7.26915520628684,0,6.09037328094303,0,1018
8893334,0,56.3055062166963,21.4920071047957,6.21669626998224,0.355239786856128,0,12.7886323268206,0,2.84191829484902,0,0,0,0,0,563
8893288,0,88.0555555555556,5.46296296296296,0.740740740740741,0,0,3.42592592592593,2.12962962962963,0.185185185185185,0,0,0,0,0,1080
8893290,0,74.1496598639456,12.9251700680272,4.76190476190476,0,0,0,5.98639455782313,2.17687074829932,0,0,0,0,0,735
8893166,0,47.8059650325677,25.3171066163867,17.7065478231059,7.61055879328077,0,0.291395269112101,0.102845389098389,0.445663352759685,0,0.0685635927322592,0,0.651354130956462,0,5834
8894290,13.4328358208955,4.47761194029851,7.46268656716418,53.7313432835821,4.47761194029851,0,16.4179104477612,0,0,0,0,0,0,0,67
8894286,1.73913043478261,49.5652173913044,39.1304347826087,3.47826086956522,0,0,6.08695652173913,0,0,0,0,0,0,0,115
8894288,1.12994350282486,26.1501210653753,33.0104923325262,13.8014527845036,0,0,6.37610976594027,15.092816787732,1.53349475383374,0,2.90556900726392,0,0,0,1239
